NAME,CATEGORY,VIEW1PERMISSION1,VIEW1PERMISSION2,VIEW1PERMISSION3,VIEW1PERMISSION4,VIEW1PERMISSION5
"""Modern Hire - Com""","[""human-resources""]","""Settings""","""Profile & Contact Information""",,,
"""Salesloft Conversations""","[""sales-automation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Dive - Remote team engagement made easy""","[""games"",""human-resources""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""IFTTT for Zoom Phone""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Vimcal""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""PublicInput""","[""content-and-compliance"",""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Akiflow""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Evernote""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Marvelous""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Cornerstone Learning Suite for Zoom Video Webinars""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""And Now...Trivia!""","[""games""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Jicoo""","[""productivity""]","""Settings""","""Profile & Contact Information""",,,
"""Builderall Booking""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Mobilize""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Colibri.ai""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Nasdaq Boardvantage""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Podia""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Mailmodo""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""Brainier""","[""learning-development""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""FlexBooker""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""SimplyMeet.me""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""JOBCAN_ATS""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Productiv - License Provisioning""","[""analytics""]",,,,,
"""classmall""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Zeeg & Zoom""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""",,,
"""Zoom for Magicline""","[""crm""]","""Settings""","""Profile & Contact Information""",,,
"""Appointment Reminder""","[""scheduling-calendar""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""LoGoChat""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Great Question""","[""transcription-translation""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""appyRewards for Events & Meetings""","[""marketing""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Smoothbook""","[""eventmanagement""]","""Settings""","""Profile & Contact Information""",,,
"""KREDO""","[""education"",""learning-development""]","""Settings""","""Profile & Contact Information""",,,
"""Toyokumo Scheduler""","[""productivity"",""scheduling-calendar"",""team-collaborations""]","""Settings""","""Profile & Contact Information""",,,
"""Uptoo""","[""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
"""Demoflow""","[""sales-automation""]","""Settings""","""Profile & Contact Information""",,,
"""MailChimp Notifications""","[""marketing""]","""Settings""","""Profile & Contact Information""",,,
"""Lemonade.tv""","[""sales-automation"",""social-activities"",""team-collaborations""]","""Settings""","""Profile & Contact Information""","""Calendars""",,
